Record_Number,Account_Count,Routing_Count,Account_Numbers,Routing_Numbers
1,3,1,"586320484095;458385015647;458385015647","061000146"
2,6,2,"562098586021;562098586021;562098586021;310012015157;310012015157;310012015157","031100209;031100209"
3,4,1,"092814867572;092814867572;385742831546;385742831546","063103915"
4,6,2,"162890726002;162890726002;162890726002;901001856353;901001856353;901001856353","011401533;011401533"
5,4,1,"340913548601;340913548601;599287434539;599287434539","071000013"
6,6,2,"610985742032;610985742032;610985742032;708000093468;708000093468;708000093468","053000219;053000219"
7,4,1,"598761035902;598761035902;450148392914;450148392914","021200025"
8,6,2,"951208363010;951208363010;951208363010;810001816445;810001816445;810001816445","074000010;074000010"
9,4,1,"789067432101;789067432101;730846851190;730846851190","061212340"
10,6,2,"831207734350;831207734350;831207734350;409012924477;409012924477;409012924477","011500120;011500120"
11,4,1,"062515582001;062515582001;845678439274;845678439274","063113057"
12,6,2,"821450236711;821450236711;821450236711;608009466378;608009466378;608009466378","102101645;102101645"
13,4,1,"385765901625;385765901625;710012849933;710012849933","021000089"
14,6,2,"471201360915;471201360915;471201360915;942345017062;942345017062;942345017062","021200339;021200339"
15,4,1,"328501920360;328501920360;453280018756;453280018756","322270356"
16,6,2,"965204615003;965204615003;965204615003;409029485640;409029485640;409029485640","021000021;021000021"
17,4,1,"057615832409;057615832409;568343059947;568343059947","081300948"
18,6,2,"935720181236;935720181236;935720181236;810000935653;810000935653;810000935653","123006800;123006800"
19,4,1,"503479016255;503479016255;870014635878;870014635878","065000090"
20,6,2,"541039752105;541039752105;541039752105;608001245345;608001245345;608001245345","011201759;011201759"
21,4,1,"812961730532;812961730532;831975309278;831975309278","111901738"
22,6,2,"663729805162;663729805162;663729805162;901001452561;901001452561;901001452561","031101279;031101279"
23,4,1,"732147589026;732147589026;942385016504;942385016504","123006800"
24,6,2,"621057819230;621057819230;621057819230;607001003339;607001003339;607001003339","026009593;026009593"
25,4,1,"847109853045;847109853045;715193437759;715193437759","114901322"
26,6,2,"469083736104;469083736104;469083736104;901000093458;901000093458;901000093458","021101108;021101108"
27,4,1,"708903615283;708903615283;450013846589;450013846589","101089292"
28,6,2,"801234709585;801234709585;801234709585;506010028899;506010028899;506010028899","122000661;122000661"
29,4,1,"936257891543;936257891543;530918473896;530918473896","071101307"
30,6,2,"073692189552;073692189552;073692189552;810001027812;810001027812;810001027812","073900990;073900990"
31,4,1,"051367894325;051367894325;870415938349;870415938349","051000017"
32,6,2,"986473016215;986473016215;986473016215;542001243582;542001243582;542001243582","064103833;064103833"
33,4,1,"897123047601;897123047601;310019475834;310019475834","031100089"
34,6,2,"945382018905;945382018905;945382018905;810000739343;810000739343;810000739343","083900363;083900363"
35,4,1,"143905860135;143905860135;860014634058;860014634058","091300719"
36,6,2,"938501245090;938501245090;938501245090;902346185638;902346185638;902346185638","111000038;111000038"
37,4,1,"230958610934;230958610934;950658439712;950658439712","053902197"
38,6,2,"235018765382;235018765382;235018765382;508000019343;508000019343;508000019343","031000503;031000503"
39,4,1,"463890716352;463890716352;530928473068;530928473068","122105155"
40,6,2,"971502546890;971502546890;971502546890;810001238429;810001238429;810001238429","067014822;067014822"
41,4,1,"692035184739;692035184739;771920348561;771920348561","111901728"
42,6,2,"584917306201;584917306201;584917306201;406010925678;406010925678;406010925678","121000248;121000248"
43,4,1,"728093461025;728093461025;956485163946;956485163946","102001017"
44,6,2,"019630517824;019630517824;019630517824;310097533901;310097533901;310097533901","053101691;053101691"
45,4,1,"245871305129;245871305129;450132968175;450132968175","325070760"
46,6,2,"832051636901;832051636901;832051636901;901001058797;901001058797;901001058797","021001208;021001208"
47,4,1,"136509754812;136509754812;801635418789;801635418789","064208165"
48,6,2,"224781029301;224781029301;224781029301;608001123466;608001123466;608001123466","044000037;044000037"
49,4,1,"982340168703;982340168703;810193468017;810193468017","021911979"
50,6,2,"980170264015;980170264015;980170264015;810007394532;810007394532;810007394532","021202337;021202337"
