US SSN,gender,birthdate,maiden name,last name,first name,address,city,state,zip,phone
172-32-1176,m,4/21/1958,Smith,White,Johnson,10932 Bigge Rd,Menlo Park,CA,94025,408 496-7223
514-14-8905,f,12/22/1944,Amaker,Borden,Ashley,4469 Sherman Street,Goff,KS,66428,785-939-6046
213-46-8915,f,4/21/1958,Pinson,Green,Marjorie,309 63rd St. #411,Oakland,CA,94618,415 986-7020
524-02-7657,m,3/25/1962,Hall,Munsch,Jerome,2183 Roy Alley,Centennial,CO,80112,303-901-6123
489-36-8350,m,9/6/1964,Porter,Aragon,Robert,3181 White Oak Drive,Kansas City,MO,66215,816-645-6936
514-30-2668,f,5/27/1986,Nicholson,Russell,Jacki,3097 Better Street,Kansas City,MO,66215,913-227-6106
505-88-5714,f,9/23/1963,Mcclain,Venson,Lillian,539 Kyle Street,Wood River,NE,68883,308-583-8759
690-05-5315,m,10/2/1969,Kings,Conley,Thomas,570 Nancy Street,Morrisville,NC,27560,919-656-6779
646-44-9061,M,1/12/1978,Kurtz,Jackson,Charles,1074 Small Street,New York,NY,10011,212-847-4915
421-37-1396,f,4/9/1980,Linden,Davis,Susan,4222 Bedford Street,Jasper,AL,35501,205-221-9156
461-97-5660,f,1/4/1975,Kingdon,Watson,Gail,3414 Gore Street,Houston,TX,77002,713-547-3414
660-03-8360,f,7/11/1953,Onwunli,Garrison,Lisa,515 Hillside Drive,Lake Charles,LA,70629,337-965-2982
751-01-2327,f,2/16/1968,Simpson,Renfro,Julie,4032 Arron Smith Drive,Kaunakakai,HI,96748,808-560-1638
559-81-1301,m,1/20/1952,Mcafee,Heard,James,2865 Driftwood Road,San Jose,CA,95129,408-370-0031
624-84-9181,m,1/16/1980,Frazier,Reyes,Danny,3500 Diane Street,San Luis Obispo,CA,93401,805-369-0464
449-48-3135,m,6/14/1982,Feusier,Hall,Mark,4986 Chapel Street,Houston,TX,77077,281-597-5517
477-36-0282,m,3/10/1961,Vasquez,Mceachern,Monte,456 Oral Lake Road,Minneapolis,MN,55401,952-412-3707
458-02-6124,m,9/20/1955,Pennebaker,Diaz,Christopher,582 Thrash Trail,Dallas,TX,75247,903-624-9156
044-34-6954,m,5/28/1967,Simpson,Lowe,Tim,1620 Maxwell Street,East Hartford,CT,6108,860-755-0293
587-03-2682,f,10/24/1958,Dickerson,Oyola,Lynette,2489 O Conner Street,Pascagoula,MS,39567,228-938-2056
421-90-3440,f,7/17/1953,Kroeger,Morrison,Adriane,4696 Retreat Avenue,Birmingham,AL,35209,205-276-1807
451-80-3526,m,6/9/1950,Parmer,Santos,Thomas,173 Lunetta Street,Fort Worth,TX,76104,940-859-1393
300-62-3266,m,2/10/1965,Spain,Faulkner,Victor,1843 Olive Street,Toledo,OH,43602,419-340-3832
322-84-2281,m,8/19/1977,Miley,Iorio,Albert,4899 University Hill Road,Springfield,IL,62701,217-615-6419
465-73-5022,f,6/20/1964,Summers,Kaminski,Teresa,1517 Gambler Lane,Houston,TX,77006,281-906-2148
612-20-6832,m,8/18/1979,Banas,Edwards,Rick,4254 Walkers Ridge Way,Gardena,CA,90248,626-991-3620
687-05-8365,f,5/24/1976,Robbins,Peacock,Stacey,3396 Nancy Street,Raleigh,NC,27612,919-571-2339
205-52-0027,f,3/26/1950,Sanford,Nelson,Agnes,4213 High Meadow Lane,Avoca,PA,18641,570-480-8704
404-12-2154,f,9/21/1984,Garcia,Townsend,Mireille,2877 Glen Street,Paducah,KY,42003,270-408-7254
151-32-2558,f,11/19/1952,Stockdale,Zwick,Rebecca,784 Beechwood Avenue,Piscataway,NJ,8854,908-814-6733
